SUPPLIER,ITEM TYPE,TOTAL_SALES,RETAIL_SALES,WAREHOUSE_SALES
WASHBURN WINE CO,KEGS,436.0,0.0,436.0
E M D SALES INC,WINE,427.92,57.09,370.83
BARON FRANCOIS LTD,LIQUOR,426.72,405.72,21.0
SCHUG CARNEROS ESTATE WINERY,WINE,426.27,105.27,321.0
THREE STARS BREWING COMPANY LLC,KEGS,407.0,0.0,407.0
TREFETHEN VINEYARDS,WINE,402.09,331.09,71.0
DOPS INC,LIQUOR,400.39,369.39,31.0
TRADEWINDS SPECIALTY IMPORTS LLC,BEER,399.0,0.0,399.0
LAIRD AND COMPANY,LIQUOR,387.15999999999997,320.16,67.0
SPAINS BEST BEERS INC,KEGS,380.0,0.0,380.0
WASHBURN WINE CO,WINE,367.26,15.34,351.92
JIM BEAM BRANDS CO,WINE,366.5,264.66,101.84
VIN DIVINO LTD,WINE,361.3,276.3,85.0
AMERICAN FIDELITY TRADING,WINE,358.77,36.85,321.92
JOHN GIVEN WINES INC,WINE,351.90000000000003,174.9,177.0
FX MATT BREWING CO,BEER,345.25,141.25,204.0
REPUBLIC NATIONAL DISTRIBUTING CO,KEGS,343.0,0.0,343.0
HOTALING & CO LLC,LIQUOR,338.02,318.02,20.0
CRAFT BREW ALLIANCE INC,BEER,334.54,34.04,300.5
TRUE RESPITE BREWING COMPANY LLC,BEER,331.06,331.06,0.0
INTERBALT PRODUCTS CORP,LIQUOR,326.14,311.14,15.0
OHMRONE WINE AND LIQUOR LLC,WINE,323.95,5.95,318.0
HARVEST IMPORTING LLC,WINE,318.4,4.4,314.0
JORDAN VINEYARD,WINE,309.37,145.37,164.0
DUCLAW BREWERY LLC,KEGS,308.0,0.0,308.0
LION NATHAN USA INC,WINE,307.2,174.2,133.0
FRUIT OF THE VINES INC,WINE,301.67,271.67,30.0
PLUME RIDGE IRREVOCABLE TRUST,WINE,299.21,12.290000000000001,286.92
MADIDUS LLC,LIQUOR,298.06,294.06,4.0
TREANA WINERY LLC,WINE,295.38,97.38,198.0
KOBRAND CORPORATION,LIQUOR,294.91,292.91,2.0
LEGENDS LTD,LIQUOR,288.23,237.23000000000002,51.0
ST SUPERY INC,WINE,280.38,175.38,105.0
WILSON DANIELS LTD,LIQUOR,277.34,274.34,3.0
STEFANO INCORPORATED,WINE,276.64,70.81,205.83
DISTRICT CIDER COMPANY INC,BEER,273.5,0.0,273.5
RED INK IMPORTS,WINE,261.78,28.95,232.83
IMPERO WINE DISTRIBUTORS,WINE,260.0,0.0,260.0
VINTAGE POINT LLC,WINE,258.46,14.46,244.0
HOME BREW MART INC,KEGS,257.0,0.0,257.0
DIONYSOS IMPORTS INC,LIQUOR,251.78,222.78,29.0
COMETE WINES LLC,WINE,234.63,37.63,197.0
BULLSHINE DISTILLERY LLC,LIQUOR,234.16,233.16,1.0
BOUTIQUE VINEYARDS LLC,WINE,234.04,55.12,178.92
ATLAS BREW WORKS LLC,KEGS,221.0,0.0,221.0
INTERNATIONAL CELLARS LLC,BEER,219.6,6.6,213.0
FRONT PORCH MICRO WINERY LLC,WINE,218.24,190.24,28.0
A I G WINE & SPIRITS,WINE,217.53,9.53,208.0
BOND DISTRIBUTING CO,BEER,216.3,0.64,215.66
FILIBUSTER BARRELS LLC,LIQUOR,213.94,197.94,16.0
VICTORY BREWING COMPANY LLC,KEGS,212.0,0.0,212.0
CELICAR LLC DBA TWIN VALLEY DISTILLERS,LIQUOR,211.85,210.85,1.0
KATCEF BROTHERS INC,KEGS,209.0,0.0,209.0
THE VINERY LLC,WINE,204.63,49.13,155.5
SAZERAC CO,WINE,202.7,114.78,87.92
NICKOLAS IMPORTS LLC,WINE,201.64,1.6400000000000001,200.0
SOKOL BLOSSER LTD,WINE,200.7,162.7,38.0
FN CELLARS LLC,WINE,197.61,94.94,102.67
CAPE STARZ WINE LLC,WINE,184.82,27.82,157.0
NICHE IMPORTERS,LIQUOR,184.64,184.64,0.0
AMERICAN BEVERAGE CORPORATION,NON-ALCOHOL,182.76,153.76,29.0
REMY COINTREAU USA,WINE,181.77,144.77,37.0
LANTERNA DISTRIBUTORS INC,LIQUOR,179.62,11.290000000000001,168.32999999999998
BOSTON BEER CORPORATION,LIQUOR,177.07,153.07,24.0
PARALLEL WORLD BREWING COMPANY,BEER,176.78,176.78,0.0
E M D SALES INC,LIQUOR,175.31,52.31,123.0
WILSON DANIELS LTD,WINE,174.18,157.18,17.0
PARAGON VINEYARD CO INC,WINE,171.85,9.93,161.92
DRAGON DISTILLERY LLC,LIQUOR,161.4,161.4,0.0
HOTALING & CO LLC,NON-ALCOHOL,161.07999999999998,158.07999999999998,3.0
SPAINS BEST BEERS INC,BEER,159.25,13.25,146.0
TAPWINES,WINE,159.0,0.0,159.0
AZIZ SHAFI TANNIC TONGUE,WINE,155.79,1.96,153.83
RIGHT FORWARD LLC,BEER,155.75,0.0,155.75
VINTAGE WINES INC,WINE,152.59,19.59,133.0
WILLIAMS CORNER WINE,WINE,152.48,0.48,152.0
DOGFISH HEAD DISTILLERY LLC,LIQUOR,152.39,118.39,34.0
MASS BAY BREWING CO,KEGS,152.0,0.0,152.0
BROOKEVILLE BREWING LLC,BEER,149.77,149.77,0.0
SIDNEY-FRANK IMPORTING CO,LIQUOR,147.25,123.25,24.0
STELLAR IMPORTING CO LLC,WINE,146.55,132.55,14.0
TI BEVERAGE GROUP LTD,WINE,144.42,48.59,95.83
PWSWN INC,LIQUOR,143.49,142.49,1.0
CRAFT WINE & SPIRITS OF MARYLAND LLC,WINE,140.97,0.97,140.0
GAMBRINUS,KEGS,138.0,0.0,138.0
VIN DIVINO LTD,LIQUOR,137.9,136.9,1.0
PRESTIGE BEVERAGE GROUP OF MD LLC,BEER,136.0,19.04,116.96000000000001
ROYAL WINE CORP,BEER,136.0,0.0,136.0
CANTINIERE IMPORTS & DISTRIBUTING INC,WINE,135.81,2.81,133.0
MADIDUS LLC,BEER,130.67,1.75,128.92
THE RIVER WINE,WINE,128.77,3.77,125.0
PRECEPT BRANDS LLC,WINE,128.7,4.7,124.0
LEGACY PARTNERS DISTRIBUTION LLC,LIQUOR,121.75,117.75,4.0
MEXCOR INTERNATIONAL,LIQUOR,121.61,16.61,105.0
STARR HILL BREWERY LLC,KEGS,121.0,0.0,121.0
